id,name,species,generation,official_artwork_url,sprite_url,icon_url,primary_type,secondary_type,height_m,weight_kg,hp,attack,defense,special_attack,special_defense,speed,base_stat_total,flavor_text,previous_evolution_id,next_evolution_id,evolution_conditions,is_legendary,is_mythical
136,flareon,Flame Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/136.png,fire,,0.9,25.0,65,130,60,95,110,65,525,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.",133,,,0,0
137,porygon,Virtual Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/137.png,normal,,0.8,36.5,65,60,70,85,75,40,395,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.,,233,trade&held_item:up-grade&needs_overworld_rain:true&turn_upside_down:true,0,0
138,omanyte,Spiral Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/138.png,rock,water,0.4,7.5,35,40,100,90,55,35,355,"Although long extinct, in rare cases, it can be genetically resurrected from fossils.",,139,level-up&level:40&needs_overworld_rain:true&turn_upside_down:true,0,0
139,omastar,Spiral Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/139.png,rock,water,1.0,35.0,70,60,125,115,70,55,495,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.,138,,,0,0
140,kabuto,Shellfish Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/140.png,rock,water,0.5,11.5,30,80,90,55,45,55,355,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.,,141,level-up&level:40&needs_overworld_rain:true&turn_upside_down:true,0,0
141,kabutops,Shellfish Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/141.png,rock,water,1.3,40.5,60,115,105,65,70,80,495,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.,140,,,0,0
142,aerodactyl,Fossil Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/142.png,rock,flying,1.8,59.0,80,105,65,60,75,130,515,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,,,,0,0
143,snorlax,Sleeping Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/143.png,normal,,2.1,460.0,160,110,65,65,110,30,540,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",446,,,0,0
144,articuno,Freeze Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/144.png,ice,flying,1.7,55.4,90,85,100,95,125,85,580,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,,,,1,0
145,zapdos,Electric Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/145.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/145.png,electric,flying,1.6,52.6,90,90,85,125,90,100,580,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,,,,1,0
146,moltres,Flame Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/146.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/146.png,fire,flying,2.0,60.0,90,100,90,125,85,90,580,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,,,,1,0
147,dratini,Dragon Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/147.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/147.png,dragon,,1.8,3.3,41,64,45,50,50,50,300,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,,148,level-up&level:30&needs_overworld_rain:true&turn_upside_down:true,0,0
148,dragonair,Dragon Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/148.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/148.png,dragon,,4.0,16.5,61,84,65,70,70,70,420,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,147,149,level-up&level:55&needs_overworld_rain:true&turn_upside_down:true,0,0
149,dragonite,Dragon Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/149.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/149.png,dragon,flying,2.2,210.0,91,134,95,100,100,80,600,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.,148,,,0,0
150,mewtwo,Genetic Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/150.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/150.png,psychic,,2.0,122.0,106,110,90,154,90,130,680,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.,,,,1,0
151,mew,New Species Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/151.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/151.png,psychic,,0.4,4.0,100,100,100,100,100,100,600,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,,,,0,1
152,chikorita,Leaf Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/152.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/152.png,grass,,0.9,6.4,45,49,65,49,65,45,318,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.,,153,level-up&level:16&needs_overworld_rain:true&turn_upside_down:true,0,0
153,bayleef,Leaf Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/153.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/153.png,grass,,1.2,15.8,60,62,80,63,80,60,405,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight.",152,154,level-up&level:32&needs_overworld_rain:true&turn_upside_down:true,0,0
154,meganium,Herb Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/154.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/154.png,grass,,1.8,100.5,80,82,100,83,100,80,525,The aroma that rises from its petals contains a substance that calms aggressive feelings.,153,,,0,0
155,cyndaquil,Fire Mouse Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/155.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/155.png,fire,,0.5,7.9,39,52,43,60,50,65,309,"It has a timid nature. If it is startled, the flames on its back burn more vigorously.",,156,level-up&level:14&needs_overworld_rain:true&turn_upside_down:true,0,0
156,quilava,Volcano Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/156.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/156.png,fire,,0.9,19.0,58,64,58,80,65,80,405,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.,155,157,level-up&level:36&needs_overworld_rain:true&turn_upside_down:true,0,0
157,typhlosion,Volcano Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/157.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/157.png,fire,,1.7,79.5,78,84,78,109,85,100,534,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",156,,,0,0
158,totodile,Big Jaw Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/158.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/158.png,water,,0.6,9.5,50,65,64,44,48,43,314,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.,,159,level-up&level:18&needs_overworld_rain:true&turn_upside_down:true,0,0
159,croconaw,Big Jaw Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/159.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/159.png,water,,1.1,25.0,65,80,80,59,63,58,405,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth.",158,160,level-up&level:30&needs_overworld_rain:true&turn_upside_down:true,0,0
160,feraligatr,Big Jaw Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/160.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/160.png,water,,2.3,88.8,85,105,100,79,83,78,530,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.",159,,,0,0
161,sentret,Scout Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/161.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/161.png,normal,,0.8,6.0,35,46,34,35,45,20,215,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings.",,162,level-up&level:15&needs_overworld_rain:true&turn_upside_down:true,0,0
162,furret,Long Body Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/162.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/162.png,normal,,1.8,32.5,85,76,64,45,55,90,415,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.,161,,,0,0
163,hoothoot,Owl Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/163.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/163.png,normal,flying,0.7,21.2,60,30,30,36,56,50,262,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",,164,level-up&level:20&needs_overworld_rain:true&turn_upside_down:true,0,0
164,noctowl,Owl Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/164.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/164.png,normal,flying,1.6,40.8,100,50,50,86,96,70,452,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.,163,,,0,0
165,ledyba,Five Star Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/165.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/165.png,bug,flying,1.0,10.8,40,20,30,40,80,55,265,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.,,166,level-up&level:18&needs_overworld_rain:true&turn_upside_down:true,0,0
166,ledian,Five Star Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/166.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/166.png,bug,flying,1.4,35.6,55,35,50,55,110,85,390,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder.",165,,,0,0
167,spinarak,String Spit Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/167.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/167.png,bug,poison,0.5,8.5,40,60,40,40,40,30,250,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.",,168,level-up&level:22&needs_overworld_rain:true&turn_upside_down:true,0,0
168,ariados,Long Leg Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/168.png,bug,poison,1.1,33.5,70,90,70,60,70,40,400,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.,167,,,0,0
169,crobat,Bat Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/169.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/169.png,poison,flying,1.8,75.0,85,90,80,70,80,130,535,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.,42,,,0,0
170,chinchou,Angler Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/170.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/170.png,water,electric,0.5,12.0,75,38,38,56,56,67,330,Chinchou blink their shining antennae at one another to claim their respective turf.,,171,level-up&level:27&needs_overworld_rain:true&turn_upside_down:true,0,0
171,lanturn,Light Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/171.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/171.png,water,electric,1.2,22.5,125,58,58,76,76,67,460,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.,170,,,0,0
172,pichu,Tiny Mouse Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/172.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/172.png,electric,,0.3,2.0,20,40,15,35,35,60,205,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.,,25,level-up&min_happiness:220&needs_overworld_rain:true&turn_upside_down:true,0,0
173,cleffa,Star Shape Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/173.png,fairy,,0.3,3.0,50,25,28,45,55,15,218,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor.",,35,level-up&min_happiness:160&needs_overworld_rain:true&turn_upside_down:true,0,0
174,igglybuff,Balloon Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/174.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/174.png,normal,fairy,0.3,1.0,90,30,15,40,20,15,210,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.",,39,level-up&min_happiness:160&needs_overworld_rain:true&turn_upside_down:true,0,0
175,togepi,Spike Ball Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/175.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/175.png,fairy,,0.3,1.5,35,20,65,40,65,20,245,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,,176,level-up&min_happiness:160&needs_overworld_rain:true&turn_upside_down:true,0,0
176,togetic,Happiness Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/176.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/176.png,fairy,flying,0.6,3.2,55,40,85,80,105,40,405,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness.",175,468,use-item&use_item:shiny-stone&needs_overworld_rain:true&turn_upside_down:true,0,0
177,natu,Tiny Bird Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/177.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/177.png,psychic,flying,0.2,2.0,40,50,45,70,45,70,320,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something.",,178,level-up&level:25&needs_overworld_rain:true&turn_upside_down:true,0,0
178,xatu,Mystic Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/178.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/178.png,psychic,flying,1.5,15.0,65,75,70,95,70,95,470,They say that it stays still and quiet because it is seeing both the past and future at the same time.,177,,,0,0
179,mareep,Wool Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/179.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/179.png,electric,,0.6,7.8,55,40,40,65,45,35,280,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you.",,180,level-up&level:15&needs_overworld_rain:true&turn_upside_down:true,0,0
180,flaaffy,Wool Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/180.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/180.png,electric,,0.8,13.3,70,55,55,80,60,45,365,"As a result of storing too much electricity, it developed patches where even downy wool won't grow.",179,181,level-up&level:30&needs_overworld_rain:true&turn_upside_down:true,0,0
181,ampharos,Light Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/181.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/181.png,electric,,1.4,61.5,90,75,85,115,90,55,510,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,180,,,0,0
182,bellossom,Flower Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/182.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/182.png,grass,,0.4,5.8,75,80,95,90,100,50,490,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",44,,,0,0
183,marill,Aqua Mouse Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/183.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/183.png,water,fairy,0.4,8.5,70,20,50,20,50,40,250,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning.",298,184,level-up&level:18&needs_overworld_rain:true&turn_upside_down:true,0,0
184,azumarill,Aqua Rabbit Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/184.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/184.png,water,fairy,0.8,28.5,100,50,80,60,80,50,420,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.,183,,,0,0
185,sudowoodo,Imitation Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/185.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/185.png,rock,,1.2,38.0,70,100,115,30,65,30,410,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant.",438,,,0,0
186,politoed,Frog Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/186.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/186.png,water,,1.1,33.9,90,75,75,90,100,70,500,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide.",61,,,0,0
187,hoppip,Cottonweed Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/187.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/187.png,grass,flying,0.4,0.5,35,35,40,35,55,50,250,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though.",,188,level-up&level:18&needs_overworld_rain:true&turn_upside_down:true,0,0
188,skiploom,Cottonweed Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/188.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/188.png,grass,flying,0.6,1.0,55,45,50,45,65,80,340,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.,187,189,level-up&level:27&needs_overworld_rain:true&turn_upside_down:true,0,0
189,jumpluff,Cottonweed Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/189.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/189.png,grass,flying,0.8,3.0,75,55,70,55,95,110,460,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world.",188,,,0,0
190,aipom,Long Tail Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/190.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/190.png,normal,,0.8,11.5,55,70,55,40,55,85,360,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.,,424,level-up&known_move:double-hit&needs_overworld_rain:true&turn_upside_down:true,0,0
191,sunkern,Seed Pokémon,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/191.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/191.png,grass,,0.3,1.8,30,30,30,30,30,30,180,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves.",,192,use-item&use_item:sun-stone&needs_overworld_rain:true&turn_upside_down:true,0,0
