id,double_damage_from,half_damage_from,no_damage_from,double_damage_to,half_damage_to,no_damage_to
246,"fighting,grass,ground,ice,steel,water","fire,flying,normal,poison,rock",electric,"bug,electric,fire,flying,ice,poison,rock,steel","bug,fighting,grass,ground,steel",flying
247,"fighting,grass,ground,ice,steel,water","fire,flying,normal,poison,rock",electric,"bug,electric,fire,flying,ice,poison,rock,steel","bug,fighting,grass,ground,steel",flying
248,"bug,fairy,fighting,grass,ground,steel,water","dark,fire,flying,ghost,normal,poison",psychic,"bug,fire,flying,ghost,ice,psychic","dark,fairy,fighting,ground,steel",
249,"dark,electric,ghost,ice,rock","fighting,grass,psychic",ground,"bug,fighting,grass,poison","electric,psychic,rock,steel",dark
250,"electric,rock,water","bug,fairy,fighting,fire,grass,steel",ground,"bug,fighting,grass,ice,steel","dragon,electric,fire,rock,steel,water",
251,"bug,dark,fire,flying,ghost,ice,poison","electric,fighting,grass,ground,psychic,water",,"fighting,ground,poison,rock,water","bug,dragon,fire,flying,grass,poison,psychic,steel",dark
252,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
253,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
254,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
255,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
256,"flying,ground,psychic,water","bug,dark,fire,grass,ice,steel",,"bug,dark,grass,ice,normal,rock,steel","bug,dragon,fairy,fire,flying,poison,psychic,rock,water",ghost
257,"flying,ground,psychic,water","bug,dark,fire,grass,ice,steel",,"bug,dark,grass,ice,normal,rock,steel","bug,dragon,fairy,fire,flying,poison,psychic,rock,water",ghost
258,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
259,grass,"fire,poison,rock,steel",electric,"electric,fire,ground,poison,rock,steel","bug,dragon,grass,water",flying
260,grass,"fire,poison,rock,steel",electric,"electric,fire,ground,poison,rock,steel","bug,dragon,grass,water",flying
261,"bug,fairy,fighting","dark,ghost",psychic,"ghost,psychic","dark,fairy,fighting",
262,"bug,fairy,fighting","dark,ghost",psychic,"ghost,psychic","dark,fairy,fighting",
263,fighting,,ghost,,"rock,steel",ghost
264,fighting,,ghost,,"rock,steel",ghost
265,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
266,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
267,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
268,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
269,"fire,flying,psychic,rock","bug,fairy,fighting,grass,poison",,"dark,fairy,grass,psychic","fairy,fighting,fire,flying,ghost,ground,poison,rock,steel",steel
270,"bug,flying,poison","ground,steel,water",,"fire,ground,rock,water","bug,dragon,fire,flying,grass,poison,steel,water",
271,"bug,flying,poison","ground,steel,water",,"fire,ground,rock,water","bug,dragon,fire,flying,grass,poison,steel,water",
272,"bug,flying,poison","ground,steel,water",,"fire,ground,rock,water","bug,dragon,fire,flying,grass,poison,steel,water",
273,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
274,"bug,fairy,fighting,fire,flying,ice,poison","dark,electric,ghost,grass,ground,water",psychic,"ghost,ground,psychic,rock,water","bug,dark,dragon,fairy,fighting,fire,flying,grass,poison,steel",
275,"bug,fairy,fighting,fire,flying,ice,poison","dark,electric,ghost,grass,ground,water",psychic,"ghost,ground,psychic,rock,water","bug,dark,dragon,fairy,fighting,fire,flying,grass,poison,steel",
276,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
277,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
278,"electric,rock","bug,fighting,fire,steel,water",ground,"bug,fighting,fire,grass,ground,rock","dragon,electric,grass,rock,steel,water",
279,"electric,rock","bug,fighting,fire,steel,water",ground,"bug,fighting,fire,grass,ground,rock","dragon,electric,grass,rock,steel,water",
280,"ghost,poison,steel","fighting,psychic",dragon,"dark,dragon,fighting,poison","fire,poison,psychic,steel",dark
281,"ghost,poison,steel","fighting,psychic",dragon,"dark,dragon,fighting,poison","fire,poison,psychic,steel",dark
282,"ghost,poison,steel","fighting,psychic",dragon,"dark,dragon,fighting,poison","fire,poison,psychic,steel",dark
283,"electric,flying,rock","fighting,ground,ice,steel,water",,"dark,fire,grass,ground,psychic,rock","dragon,fairy,fighting,fire,flying,ghost,grass,poison,steel,water",
284,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
285,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
286,"fairy,fire,flying,ice,poison,psychic","dark,electric,grass,ground,rock,water",,"dark,ground,ice,normal,rock,steel,water","bug,dragon,fairy,fire,flying,grass,poison,psychic,steel",ghost
287,fighting,,ghost,,"rock,steel",ghost
288,fighting,,ghost,,"rock,steel",ghost
289,fighting,,ghost,,"rock,steel",ghost
290,"fire,flying,ice,water","fighting,ground,poison",electric,"dark,electric,fire,grass,poison,psychic,rock,steel","bug,fairy,fighting,fire,flying,ghost,grass,poison,steel",flying
291,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
292,"dark,fire,flying,ghost,rock","bug,grass,ground,poison","fighting,normal","dark,ghost,grass,psychic","dark,fairy,fighting,fire,flying,ghost,poison,steel",normal
293,fighting,,ghost,,"rock,steel",ghost
294,fighting,,ghost,,"rock,steel",ghost
295,fighting,,ghost,,"rock,steel",ghost
296,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
297,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
298,"poison,steel","bug,dark","dragon,ghost","dark,dragon,fighting","fire,poison,rock,steel",ghost
299,"fighting,grass,ground,steel,water","fire,flying,normal,poison",,"bug,fire,flying,ice","fighting,ground,steel",
300,fighting,,ghost,,"rock,steel",ghost
301,fighting,,ghost,,"rock,steel",ghost
302,fairy,poison,"fighting,normal,psychic","ghost,psychic","dark,fairy,fighting",normal
303,"fire,ground","bug,dark,fairy,flying,grass,ice,normal,psychic,rock","dragon,poison","dark,dragon,fairy,fighting,ice,rock","electric,fire,poison,steel,water",
304,"fighting,ground,water","bug,dragon,fairy,flying,ice,normal,psychic,rock",poison,"bug,fairy,fire,flying,ice,rock","electric,fighting,fire,ground,steel,water",
305,"fighting,ground,water","bug,dragon,fairy,flying,ice,normal,psychic,rock",poison,"bug,fairy,fire,flying,ice,rock","electric,fighting,fire,ground,steel,water",
306,"fighting,ground,water","bug,dragon,fairy,flying,ice,normal,psychic,rock",poison,"bug,fairy,fire,flying,ice,rock","electric,fighting,fire,ground,steel,water",
307,"fairy,flying,ghost","fighting,rock",,"dark,fighting,ice,normal,poison,rock,steel","bug,fairy,flying,poison,psychic,steel","dark,ghost"
308,"fairy,flying,ghost","fighting,rock",,"dark,fighting,ice,normal,poison,rock,steel","bug,fairy,flying,poison,psychic,steel","dark,ghost"
309,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
310,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
311,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
312,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
313,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
314,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
315,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
316,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
317,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
318,"bug,electric,fairy,fighting,grass","dark,fire,ghost,ice,steel,water",psychic,"fire,ghost,ground,psychic,rock","dark,dragon,fairy,fighting,grass,water",
319,"bug,electric,fairy,fighting,grass","dark,fire,ghost,ice,steel,water",psychic,"fire,ghost,ground,psychic,rock","dark,dragon,fairy,fighting,grass,water",
320,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
321,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
322,"ground,water","bug,fairy,fire,poison,steel",electric,"bug,electric,fire,grass,ice,poison,rock,steel","bug,dragon,fire,grass,rock,water",flying
323,"ground,water","bug,fairy,fire,poison,steel",electric,"bug,electric,fire,grass,ice,poison,rock,steel","bug,dragon,fire,grass,rock,water",flying
324,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
325,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
326,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
327,fighting,,ghost,,"rock,steel",ghost
328,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
329,"dragon,fairy,ice","fire,poison,rock",electric,"dragon,electric,fire,poison,rock,steel","bug,grass,steel","fairy,flying"
330,"dragon,fairy,ice","fire,poison,rock",electric,"dragon,electric,fire,poison,rock,steel","bug,grass,steel","fairy,flying"
331,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
332,"bug,fairy,fighting,fire,flying,ice,poison","dark,electric,ghost,grass,ground,water",psychic,"ghost,ground,psychic,rock,water","bug,dark,dragon,fairy,fighting,fire,flying,grass,poison,steel",
333,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
334,"dragon,fairy,ice,rock","bug,fighting,fire,grass,water",ground,"bug,dragon,fighting,grass","electric,rock,steel",fairy
335,fighting,,ghost,,"rock,steel",ghost
336,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
337,"bug,dark,ghost,grass,ground,steel,water","fire,flying,normal,poison,psychic",,"bug,fighting,fire,flying,ice,poison","fighting,ground,psychic,steel",dark
338,"bug,dark,ghost,grass,ground,steel,water","fire,flying,normal,poison,psychic",,"bug,fighting,fire,flying,ice,poison","fighting,ground,psychic,steel",dark
339,grass,"fire,poison,rock,steel",electric,"electric,fire,ground,poison,rock,steel","bug,dragon,grass,water",flying
340,grass,"fire,poison,rock,steel",electric,"electric,fire,ground,poison,rock,steel","bug,dragon,grass,water",flying
341,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
342,"bug,electric,fairy,fighting,grass","dark,fire,ghost,ice,steel,water",psychic,"fire,ghost,ground,psychic,rock","dark,dragon,fairy,fighting,grass,water",
343,"bug,dark,ghost,grass,ice,water","fighting,poison,psychic,rock",electric,"electric,fighting,fire,poison,rock,steel","bug,grass,psychic,steel","dark,flying"
344,"bug,dark,ghost,grass,ice,water","fighting,poison,psychic,rock",electric,"electric,fighting,fire,poison,rock,steel","bug,grass,psychic,steel","dark,flying"
345,"bug,fighting,ice,steel","electric,normal",,"bug,fire,flying,ground,ice,rock,water","bug,dragon,fighting,fire,flying,grass,ground,poison,steel",
346,"bug,fighting,ice,steel","electric,normal",,"bug,fire,flying,ground,ice,rock,water","bug,dragon,fighting,fire,flying,grass,ground,poison,steel",
347,"rock,steel,water","normal,poison",,"bug,dark,fire,flying,grass,ice,psychic","fairy,fighting,fire,flying,ghost,ground,poison,steel",
348,"rock,steel,water","normal,poison",,"bug,dark,fire,flying,grass,ice,psychic","fairy,fighting,fire,flying,ghost,ground,poison,steel",
349,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
350,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
351,fighting,,ghost,,"rock,steel",ghost
352,fighting,,ghost,,"rock,steel",ghost
353,"dark,ghost","bug,poison","fighting,normal","ghost,psychic",dark,normal
354,"dark,ghost","bug,poison","fighting,normal","ghost,psychic",dark,normal
355,"dark,ghost","bug,poison","fighting,normal","ghost,psychic",dark,normal
356,"dark,ghost","bug,poison","fighting,normal","ghost,psychic",dark,normal
357,"fire,flying,ice,poison,rock","fighting,grass,water",ground,"bug,fighting,grass,ground,rock,water","bug,dragon,electric,fire,flying,grass,poison,rock,steel",
358,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
359,"bug,fairy,fighting","dark,ghost",psychic,"ghost,psychic","dark,fairy,fighting",
360,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
361,"fighting,fire,rock,steel",ice,,"dragon,flying,grass,ground","fire,ice,steel,water",
362,"fighting,fire,rock,steel",ice,,"dragon,flying,grass,ground","fire,ice,steel,water",
363,"electric,fighting,grass,rock","ice,water",,"dragon,fire,flying,grass,ground,rock","dragon,fire,grass,ice,steel,water",
364,"electric,fighting,grass,rock","ice,water",,"dragon,fire,flying,grass,ground,rock","dragon,fire,grass,ice,steel,water",
365,"electric,fighting,grass,rock","ice,water",,"dragon,fire,flying,grass,ground,rock","dragon,fire,grass,ice,steel,water",
366,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
367,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
368,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
369,"electric,fighting,grass,ground","fire,flying,ice,normal,poison",,"bug,fire,flying,ground,ice,rock","dragon,fighting,grass,ground,steel,water",
370,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
371,"dragon,fairy,ice","electric,fire,grass,water",,dragon,steel,fairy
372,"dragon,fairy,ice","electric,fire,grass,water",,dragon,steel,fairy
373,"dragon,fairy,ice,rock","bug,fighting,fire,grass,water",ground,"bug,dragon,fighting,grass","electric,rock,steel",fairy
374,"dark,fire,ghost,ground","dragon,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,fighting,ice,poison,rock","electric,fire,psychic,steel,water",dark
375,"dark,fire,ghost,ground","dragon,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,fighting,ice,poison,rock","electric,fire,psychic,steel,water",dark
376,"dark,fire,ghost,ground","dragon,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,fighting,ice,poison,rock","electric,fire,psychic,steel,water",dark
377,"fighting,grass,ground,steel,water","fire,flying,normal,poison",,"bug,fire,flying,ice","fighting,ground,steel",
378,"fighting,fire,rock,steel",ice,,"dragon,flying,grass,ground","fire,ice,steel,water",
379,"fighting,fire,ground","bug,dragon,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,ice,rock","electric,fire,steel,water",
380,"bug,dark,dragon,fairy,ghost,ice","electric,fighting,fire,grass,psychic,water",,"dragon,fighting,poison","psychic,steel","dark,fairy"
381,"bug,dark,dragon,fairy,ghost,ice","electric,fighting,fire,grass,psychic,water",,"dragon,fighting,poison","psychic,steel","dark,fairy"
382,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
383,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
384,"dragon,fairy,ice,rock","bug,fighting,fire,grass,water",ground,"bug,dragon,fighting,grass","electric,rock,steel",fairy
385,"dark,fire,ghost,ground","dragon,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,fighting,ice,poison,rock","electric,fire,psychic,steel,water",dark
386,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
387,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
388,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
389,"bug,fire,flying,ice","ground,rock",electric,"electric,fire,ground,poison,rock,steel,water","bug,dragon,fire,flying,grass,poison,steel",flying
390,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
391,"flying,ground,psychic,water","bug,dark,fire,grass,ice,steel",,"bug,dark,grass,ice,normal,rock,steel","bug,dragon,fairy,fire,flying,poison,psychic,rock,water",ghost
392,"flying,ground,psychic,water","bug,dark,fire,grass,ice,steel",,"bug,dark,grass,ice,normal,rock,steel","bug,dragon,fairy,fire,flying,poison,psychic,rock,water",ghost
393,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
394,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
395,"electric,fighting,ground","bug,dragon,fairy,flying,ice,normal,psychic,rock,steel,water",poison,"fairy,fire,ground,ice,rock","dragon,electric,fire,grass,steel,water",
396,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
397,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
398,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
399,fighting,,ghost,,"rock,steel",ghost
400,"electric,fighting,grass","fire,ice,steel,water",ghost,"fire,ground,rock","dragon,grass,rock,steel,water",ghost
401,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
402,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
403,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
404,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
405,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
406,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
407,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
408,"fighting,grass,ground,steel,water","fire,flying,normal,poison",,"bug,fire,flying,ice","fighting,ground,steel",
409,"fighting,grass,ground,steel,water","fire,flying,normal,poison",,"bug,fire,flying,ice","fighting,ground,steel",
410,"fighting,ground,water","bug,dragon,fairy,flying,ice,normal,psychic,rock",poison,"bug,fairy,fire,flying,ice,rock","electric,fighting,fire,ground,steel,water",
411,"fighting,ground,water","bug,dragon,fairy,flying,ice,normal,psychic,rock",poison,"bug,fairy,fire,flying,ice,rock","electric,fighting,fire,ground,steel,water",
412,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
413,"bug,fire,flying,ice,poison,rock","electric,fighting,grass,ground,water",,"dark,grass,ground,psychic,rock,water","bug,dragon,fairy,fighting,fire,flying,ghost,grass,poison,steel",
414,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
415,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
416,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
417,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
418,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
419,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
420,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
421,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
422,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
423,grass,"fire,poison,rock,steel",electric,"electric,fire,ground,poison,rock,steel","bug,dragon,grass,water",flying
424,fighting,,ghost,,"rock,steel",ghost
425,"dark,electric,ghost,ice,rock","bug,grass,poison","fighting,ground,normal","bug,fighting,ghost,grass,psychic","dark,electric,rock,steel",normal
426,"dark,electric,ghost,ice,rock","bug,grass,poison","fighting,ground,normal","bug,fighting,ghost,grass,psychic","dark,electric,rock,steel",normal
427,fighting,,ghost,,"rock,steel",ghost
428,fighting,,ghost,,"rock,steel",ghost
429,"dark,ghost","bug,poison","fighting,normal","ghost,psychic",dark,normal
430,"electric,fairy,ice,rock","dark,ghost,grass","ground,psychic","bug,fighting,ghost,grass,psychic","dark,electric,fairy,fighting,rock,steel",
431,fighting,,ghost,,"rock,steel",ghost
432,fighting,,ghost,,"rock,steel",ghost
433,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
434,ground,"dark,ghost,grass,poison",psychic,"fairy,ghost,grass,psychic","dark,fairy,fighting,ghost,ground,poison,rock",steel
435,ground,"dark,ghost,grass,poison",psychic,"fairy,ghost,grass,psychic","dark,fairy,fighting,ghost,ground,poison,rock",steel
436,"dark,fire,ghost,ground","dragon,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,fighting,ice,poison,rock","electric,fire,psychic,steel,water",dark
437,"dark,fire,ghost,ground","dragon,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,fighting,ice,poison,rock","electric,fire,psychic,steel,water",dark
438,"fighting,grass,ground,steel,water","fire,flying,normal,poison",,"bug,fire,flying,ice","fighting,ground,steel",
439,"ghost,poison,steel","fighting,psychic",dragon,"dark,dragon,fighting,poison","fire,poison,psychic,steel",dark
440,fighting,,ghost,,"rock,steel",ghost
441,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
442,fairy,poison,"fighting,normal,psychic","ghost,psychic","dark,fairy,fighting",normal
443,"dragon,fairy,ice","fire,poison,rock",electric,"dragon,electric,fire,poison,rock,steel","bug,grass,steel","fairy,flying"
444,"dragon,fairy,ice","fire,poison,rock",electric,"dragon,electric,fire,poison,rock,steel","bug,grass,steel","fairy,flying"
445,"dragon,fairy,ice","fire,poison,rock",electric,"dragon,electric,fire,poison,rock,steel","bug,grass,steel","fairy,flying"
446,fighting,,ghost,,"rock,steel",ghost
447,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
448,"fighting,fire,ground","bug,dark,dragon,grass,ice,normal,rock,steel",poison,"dark,fairy,ice,normal,rock,steel","bug,electric,fairy,fire,flying,poison,psychic,steel,water",ghost
449,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
450,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
451,"fire,flying,psychic,rock","bug,fairy,fighting,grass,poison",,"dark,fairy,grass,psychic","fairy,fighting,fire,flying,ghost,ground,poison,rock,steel",steel
452,ground,"dark,ghost,grass,poison",psychic,"fairy,ghost,grass,psychic","dark,fairy,fighting,ghost,ground,poison,rock",steel
453,"flying,ground,psychic","bug,dark,fighting,grass,poison,rock",,"dark,fairy,grass,ice,normal,rock,steel","bug,fairy,flying,ghost,ground,poison,psychic,rock","ghost,steel"
454,"flying,ground,psychic","bug,dark,fighting,grass,poison,rock",,"dark,fairy,grass,ice,normal,rock,steel","bug,fairy,flying,ghost,ground,poison,psychic,rock","ghost,steel"
455,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
456,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
457,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
458,"electric,rock","bug,fighting,fire,steel,water",ground,"bug,fighting,fire,grass,ground,rock","dragon,electric,grass,rock,steel,water",
459,"bug,fighting,fire,flying,poison,rock,steel","electric,grass,ground,water",,"dragon,flying,grass,ground,rock,water","bug,dragon,fire,flying,grass,ice,poison,steel,water",
460,"bug,fighting,fire,flying,poison,rock,steel","electric,grass,ground,water",,"dragon,flying,grass,ground,rock,water","bug,dragon,fire,flying,grass,ice,poison,steel,water",
461,"bug,fairy,fighting,fire,rock,steel","dark,ghost,ice",psychic,"dragon,flying,ghost,grass,ground,psychic","dark,fairy,fighting,fire,ice,steel,water",
462,"fighting,fire,ground","bug,dragon,electric,fairy,flying,grass,ice,normal,psychic,rock,steel",poison,"fairy,flying,ice,rock,water","dragon,electric,fire,grass,steel,water",ground
463,fighting,,ghost,,"rock,steel",ghost
464,"fighting,grass,ground,ice,steel,water","fire,flying,normal,poison,rock",electric,"bug,electric,fire,flying,ice,poison,rock,steel","bug,fighting,grass,ground,steel",flying
465,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
466,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
467,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
468,"electric,ice,poison,rock,steel","bug,dark,fighting,grass","dragon,ground","bug,dark,dragon,fighting,grass","electric,fire,poison,rock,steel",
469,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
470,"bug,fire,flying,ice,poison","electric,grass,ground,water",,"ground,rock,water","bug,dragon,fire,flying,grass,poison,steel",
471,"fighting,fire,rock,steel",ice,,"dragon,flying,grass,ground","fire,ice,steel,water",
472,"ice,water","bug,fighting,poison","electric,ground","bug,electric,fighting,fire,grass,poison,rock,steel","bug,electric,grass,rock,steel",flying
473,"fighting,fire,grass,steel,water",poison,electric,"dragon,electric,fire,flying,grass,ground,poison,rock,steel","bug,fire,grass,ice,steel,water",flying
474,fighting,,ghost,,"rock,steel",ghost
475,"fairy,flying,ghost","fighting,rock",,"dark,fighting,ice,normal,poison,rock,steel","bug,fairy,flying,poison,psychic,steel","dark,ghost"
476,"fighting,ground,water","bug,dragon,fairy,flying,ice,normal,psychic,rock",poison,"bug,fairy,fire,flying,ice,rock","electric,fighting,fire,ground,steel,water",
477,"dark,ghost","bug,poison","fighting,normal","ghost,psychic",dark,normal
478,"dark,fire,ghost,rock,steel","bug,ice,poison","fighting,normal","dragon,flying,ghost,grass,ground,psychic","dark,fire,ice,steel,water",normal
479,"dark,ghost,ground","bug,electric,flying,poison,steel","fighting,normal","flying,ghost,psychic,water","dark,dragon,electric,grass","ground,normal"
480,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
481,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
482,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
483,"fighting,ground","bug,electric,flying,grass,normal,psychic,rock,steel,water",poison,"dragon,fairy,ice,rock","electric,fire,steel,water",fairy
484,"dragon,fairy","fire,steel,water",,"dragon,fire,ground,rock","dragon,grass,steel,water",fairy
